Sum of current_amount,Column Labels,,
Row Labels,Economic,Military,Grand Total
1946,3075702000,,3075702000
1947,6541601000,166400000,6708001000
1948,2864704000,314800000,3179504000
1949,7999404000,301300000,8300704000
1950,4799305000,1171991000,5971296000
1951,3426704000,4185856000,7612560000
1952,2408921000,4405032000,6813953000
1953,2246108000,2733762000,4979870000
1954,2400712000,2367066000,4767778000
1955,2419209000,1678173000,4097382000
1956,2476714000,2370977000,4847691000
1957,2901817000,1969598000,4871415000
1958,2457520000,1557141000,4014661000
1959,2806014000,2268227000,5074241000
1960,2974017000,2244257000,5218274000
1961,3367918000,2112993000,5480911000
1962,4469520000,2062775000,6532295000
1963,4369615000,2015108000,6384723000
1964,4071819000,1193329000,5265148000
1965,4121626000,1299054000,5420680000
1966,4783426000,2120932000,6904358000
1967,3942621000,2396541000,6339162000
1968,4100329000,2656921000,6757250000
1969,3523927000,3115329000,6639256000
1970,3675730000,2837484000,6513214000
1971,3441619000,4351257000,7792876000
1972,3940772000,5046136000,8986908000
1973,4116523000,5312162000,9428685000
1974,3905944000,4573258000,8479202000
1975,4899332000,1987455000,6886787000
1976,3877926000,3128408000,7006334000
1977,5594125000,2161976000,7756101000
1978,6660542000,2338872000,8999414000
1979,7119923000,6717395000,13837318000
1980,7571987000,2109793000,9681780000
1981,7294110000,3223301000,10517411000
1982,8121519000,4045146000,12166665000
1983,8602308000,5234147000,13836455000
1984,9038307000,5826182000,14864489000
1985,12326900000,5779976000,18106876000
1986,10796125000,5019591000,15815716000
1987,9704481000,4168417000,13872898000
1988,9134633000,4828520000,13963153000
1989,10017756000,4425658000,14443414000
1990,11043694762,4959198000,16002892762
1991,12098585549,4861152000,16959737549
1992,11250896763,4475071655,15725968418
1993,11792124366,4757389502,16549513868
1994,11704768256,4497913948,16202682204
1995,11265924431,4289573072,15555497503
1996,9727057181,4729982010,14457039191
1997,9519217744,4390295660,13909513404
1998,10726154580,4196694082,14922848662
1999,14014418317,4308764563,18323182880
2000,11962644418,5149274927,17111919345
2001,21839904966,8719139303,30559044269
2002,27391226806,9781240682,37172467488
2003,33258771591,19068056920,52326828511
2004,44967916377,12999767534,57967683911
2005,50926290677,16945978556,67872269233
2006,45701043028,23816063553,69517106581
2007,47022486005,27140360449,74162846454
2008,56323973793,32192365279,88516339072
2009,60932424797,30009549294,90941974091
2010,61865411786,28206665478,90072077264
2011,60611193261,35359833445,95971026706
2012,63189813466,32953211154,96143024620
2013,63655938901,28382455151,92038394052
2014,64012861578,20359375421,84372236999
2015,65816749964,17986003786,83802753750
2016,42777053633,33015844,42810069477
2017,6549012,,6549012
1976tq,1931350000,671811000,2603161000
Grand Total,1.16573E+12,5.25063E+11,1.69079E+12
